<HEADER>
SWVersion,GTNumber,GTMark,AxleType,TyreDetails,DPRDate,DPRResult,DPRLength,AverageLength,OperatorOffset,SurveyName,TargetSpeed,WaterFilm,SurfaceCondition,Weather,AmbientTemperature,SurfaceTemperature,Operator,StartDate,StartTime,SurveyLength,Comments,Units,Filename
2.0.0.12,GT686,MK2,D,A91-221102,08-oct.-2024,0 ;805,1000,1,5,labo 63,30,0 ;25,,Clair et calme,19,12,C MALVAL,08/10/2024,15:10:31,972,Clermont 63 Ligne 2 passage 4,M         ,63L2P4
<EMUSED>
EMid,EMIndex,EMName,EMDirection,EMLength,ILName,ILLevel,ILdescription
<RESULTS>
Chainage,GN,Load,Speed,Flow,EM Name,IL Level,Latitude,Longitude,Altitude,Quality,No. Satellites,GPSTime,Duration,EM Used
85,0.80,14.08,31.0,5.9,,0.00,?,?,?,?,?,?,9.622,
86,0.79,15.23,31.0,5.9,,0.00,?,?,?,?,?,?,9.774,
87,0.78,14.43,31.0,5.9,,0.00,?,?,?,?,?,?,9.930,
88,0.77,16.33,31.0,5.9,,0.00,?,?,?,?,?,?,9.930,
89,0.76,15.68,31.0,5.9,,0.00,?,?,?,?,?,?,10.088,
90,0.78,15.62,31.0,5.9,,0.00,?,?,?,?,?,?,10.252,
91,0.79,15.14,31.0,5.9,,0.00,?,?,?,?,?,?,10.253,
92,0.81,13.91,31.0,5.9,,0.00,?,?,?,?,?,?,10.416,
93,0.80,14.59,31.0,5.9,,0.00,?,?,?,?,?,?,10.578,
94,0.81,14.30,31.0,5.9,,0.00,?,?,?,?,?,?,10.578,
95,0.81,15.04,31.0,6.0,,0.00,?,?,?,?,?,?,10.730,
96,0.79,15.08,31.0,6.0,,0.00,?,?,?,?,?,?,10.884,
97,0.79,16.09,31.0,6.0,,0.00,?,?,?,?,?,?,11.045,
98,0.78,15.29,31.0,6.0,,0.00,?,?,?,?,?,?,11.045,
99,0.80,15.13,31.0,6.0,,0.00,?,?,?,?,?,?,11.197,
